FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,1,Maschi,Y6-24,6-24 anni,99,Totale,2022,5158,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,1,Maschi,Y6-24,6-24 anni,99,Totale,2023,5177,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,99,Totale,2022,6353,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,99,Totale,2023,6290,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,99,Totale,2022,7776,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,99,Totale,2023,8033,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,99,Totale,2022,2911,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,99,Totale,2023,3159,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,1,Maschi,Y_GE6,6 anni e più,99,Totale,2022,22198,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,1,Maschi,Y_GE6,6 anni e più,99,Totale,2023,22660,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,2,Femmine,Y6-24,6-24 anni,99,Totale,2022,4815,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,2,Femmine,Y6-24,6-24 anni,99,Totale,2023,4855,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,99,Totale,2022,6225,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,99,Totale,2023,6157,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,99,Totale,2022,8046,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,99,Totale,2023,8257,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,99,Totale,2022,2721,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,99,Totale,2023,2980,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,2,Femmine,Y_GE6,6 anni e più,99,Totale,2022,21806,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,2,Femmine,Y_GE6,6 anni e più,99,Totale,2023,22248,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,9,Totale,Y6-24,6-24 anni,99,Totale,2022,9972,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,9,Totale,Y6-24,6-24 anni,99,Totale,2023,10032,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,99,Totale,2022,12578,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,99,Totale,2023,12447,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,99,Totale,2022,15822,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,99,Totale,2023,16291,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,99,Totale,2022,5633,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,99,Totale,2023,6139,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,9,Totale,Y_GE6,6 anni e più,99,Totale,2022,44005,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,THV,Valori in migliaia,9,Totale,Y_GE6,6 anni e più,99,Totale,2023,44909,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,1,Maschi,Y6-24,6-24 anni,99,Totale,2022,4293,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,1,Maschi,Y6-24,6-24 anni,99,Totale,2023,4319,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,99,Totale,2022,5764,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,99,Totale,2023,5831,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,99,Totale,2022,6453,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,99,Totale,2023,6812,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,99,Totale,2022,1960,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,99,Totale,2023,2161,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,1,Maschi,Y_GE6,6 anni e più,99,Totale,2022,18472,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,1,Maschi,Y_GE6,6 anni e più,99,Totale,2023,19123,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,2,Femmine,Y6-24,6-24 anni,99,Totale,2022,4005,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,2,Femmine,Y6-24,6-24 anni,99,Totale,2023,4046,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,99,Totale,2022,5685,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,99,Totale,2023,5737,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,99,Totale,2022,6571,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,99,Totale,2023,6940,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,99,Totale,2022,1752,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,99,Totale,2023,1983,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,THV,Valori in migliaia,2,Femmine,Y_GE6,6 anni e più,99,Totale,2022,18013,,
