FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y6-24,6-24 anni,99,Totale,2024,94.8,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y25-44,25-44 anni,99,Totale,2024,95.2,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y45-64,45-64 anni,99,Totale,2024,91.6,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE65,65 anni e più,99,Totale,2024,50.7,,
A,Annuale,6_INTSI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: usano Internet,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE6,6 anni e più,99,Totale,2024,82.7,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y6-24,6-24 anni,99,Totale,2024,79.7,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y25-44,25-44 anni,99,Totale,2024,90.2,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y45-64,45-64 anni,99,Totale,2024,79.8,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE65,65 anni e più,99,Totale,2024,36.5,,
A,Annuale,6_INTTUTTI,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: tutti i giorni,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE6,6 anni e più,99,Totale,2024,71.2,,
