FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y6-24,6-24 anni,99,Totale,2022,74,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y6-24,6-24 anni,99,Totale,2023,70.4,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,99,Totale,2022,70.9,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,99,Totale,2023,71.2,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,99,Totale,2022,64.1,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,99,Totale,2023,65.5,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y_GE65,65 anni e più,99,Totale,2022,33.4,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y_GE65,65 anni e più,99,Totale,2023,35.7,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y_GE6,6 anni e più,99,Totale,2022,60.9,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y_GE6,6 anni e più,99,Totale,2023,61.1,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y6-24,6-24 anni,99,Totale,2022,76.4,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y6-24,6-24 anni,99,Totale,2023,71.8,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y25-44,25-44 anni,99,Totale,2022,71.3,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y25-44,25-44 anni,99,Totale,2023,72,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y45-64,45-64 anni,99,Totale,2022,57.9,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y45-64,45-64 anni,99,Totale,2023,59.8,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y_GE65,65 anni e più,99,Totale,2022,18.6,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y_GE65,65 anni e più,99,Totale,2023,19,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y_GE6,6 anni e più,99,Totale,2022,53.6,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,2,Femmine,Y_GE6,6 anni e più,99,Totale,2023,53.5,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y6-24,6-24 anni,99,Totale,2022,75.2,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y6-24,6-24 anni,99,Totale,2023,71.1,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y25-44,25-44 anni,99,Totale,2022,71.1,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y25-44,25-44 anni,99,Totale,2023,71.6,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y45-64,45-64 anni,99,Totale,2022,60.9,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y45-64,45-64 anni,99,Totale,2023,62.6,,
A,Annuale,6_PCSI,Persone di 6 anni e più per utilizzo del personal computer e frequenza di utilizzo: usano il pc,HSC,Per 100 persone con le stesse caratteristiche,9,Totale,Y_GE65,65 anni e più,99,Totale,2022,25.1,,
